mail runner,  தபாற்காரன், ஓட்டக்காரன், 
relay man,  ஓட்டக்காரன், 
complet,  ஓய்வு, 
serializing a class of objects,  ஓய்வு, 
holiday,  ஓய்வுநாள்/ விடாய்/ வங்கி விடுமுறை நாள், அரிமானக்காப்பு தொடர்ச்சி நீக்கம்/ விடுமுறை, அரசு விடுமுறை நாள்/ விடுமுறை நாள், ரசா/ வாவு, உள்ளூர் விடுமுறை நாள்/ குடில், 
Sabbath day,  ஓய்வுநாள்/ விராமம், 
Sunday day of rest,  ஓய்வுநாள், 
day of rest,  ஓய்வுநாள், 
sabbath,  ஓய்வுநாள், 
temple bell kept ringing continuously,  ஓயாமணி, 
remembr,  ஓர், 
to consider attentively,  ஓர், 
to think regard,  ஓர், 
listen attentively,  ஓர், 
one of the five kinds of katal patu tiraviyam,  ஓர்க்கோலை, 
one of the five kinds of kadal padu-tiraviyam,  ஓர்க்கோலை, 
husband of the wifes sister,  ஓர்குடியிற்கொண்டோன், 
co nsciousness,  ஓர்ச்சி, 
consu ltation,  ஓர்ச்சி, 
rumination,  கடந்த காலம் பற்றிச் சிந்தித்தல், அசைபோடல்/ கழிந்த நிகழ்வுகள் பற்றிச் சிந்தித்தல், அசைபோடுதல், புல்லுண்ணும் விலங்குகள் தின்றதை அசை போடுதல், அசையீடு, ஓர்ச்சி, 
remind,  நினைவூட்டு; நினைவுபடுத்து, தொடைநிமிண்டு –தல், ஓர்ச்சி, 
wife of the husbands brother,  ஓர்ப்படியாள், ஓரி, 
wild jujube,  ஓர்ப்பிலந்தை, 
careful consideration,  ஓர்ப்பு, 
one of the four kinds of atuu k kunam,  ஓர்ப்பு/ கடைப்பிடி, 
clear understanding,  ஓர்ப்பு, பாவனை, 
one of the four kinds of,  ஓர்ப்பு, 
clear under-standing,  ஓர்ப்பு, 
forbeara nce,  ஓர்ப்பு, 
as of a festival,  ஓர்மை, 
joining ends of two bricks,  ஓர்வம், 
plant having but a single seed-lobe,  ஓர்விதைப்பூடு, 
block of wood placed under the wheels of the temple chariot to direct its course,  ஓரக்கட்டை, 
squint eyed man,  ஓரக்கண்ணன், 
partisan,  கட்சிக்காரன்// சார்பாளன், பட்சபாதி// சார்பகன்/ கட்சிசார், ஒருதலைசார், ஓரக்கண்ணன், பாரிசத்தான், 
man who is biassed,  ஓரக்கண்ணன், 
squint-eyed man,  ஓரக்கண்ணன், 
one who is biassed,  ஓரக்கண்ணன், 
wife of ones husbands brother,  ஓரகத்தி, 
in India co sister,  ஓரகத்தி, 
husbands brothers wife,  ஓரகத்தி, 
name of the ancient capital of andhra,  ஓரங்கல், 
now called warangal,  ஓரங்கல், 
so called because it was surrrounded by a single stone wall,  ஓரங்கல், 
ancient capital of andhra,  ஓரங்கல், 
so called because it was surrounded by a single stone wall,  ஓரங்கல், 
foot of one acai,  ஓரசைச்சீர், 
musical composition or taru consisting of pallavi,  ஓரடிப்பதம், 
anu pallavi and one caranam,  ஓரடிப்பதம், 
anu-pallavi and one caranam,  ஓரடிப்பதம், 
pun appearing in one line of a stanza repeated four times,  ஓரடிமடக்கு, 
an ancient small measure,  ஓரடை, 
ancient small measure,  ஓரடை, 
queue,  முறை வரிசை, ஓரணை/ வரிசை, ஒழுகு வரிசை: முறைவரிசை// சாரை, 
side rafter,  ஓரத்துப்பட்டை, 
side rafter of plaster on tiled roof,  ஓரத்துப்பட்டை, 
cor,  ஓரம், 
space clos,  ஓரம், 
partiality in speaking,  ஓரம், 
pudenda muliebre,  ஓரம், 
on one side-towards the edge,  ஓரம், 
a mathematical work,  ஓரம்பம், 
mathematical work,  ஓரம்பம், 
biased statement,  ஓரம்பேசல், 
name of the author of the section marutam in ai kuu nuu,  ஓரம்போகியார், 
author of marudam in,  ஓரம்போகியார், 
discrimin,  ஓரவஞ்சனை; நிறவேற்றுமை, 
deceitful partiality,  ஓரவஞ்சனை, 
thing of the same kind,  ஓரற்று, 
living organisms having only one sense of perception,  ஓரறிவுயிர், 
as plants,  ஓரறிவுயிர்/ கருகு/ கொய், தழை, அட்டகருமக்கரு, 
supposed to have only the sense of touch,  ஓரறிவுயிர், 
iiving organisms having only one sense of perception,  ஓரறிவுயிர், 
brown edible scaly sea fish approximately cm long,  ஓரா, 
tenthis vermiculata,  ஓரா, 
dark brownish neutral tint,  ஓரா, 
tenthis java,  ஓரா, 
dark greyish brown,  வரிக்கண்ணோரா, ஓரா, 
tenthis concatenata,  வரியோரா/ வரிக்கண்ணோரா, ஓரா, 
oliva cesus,  ஓரா, 
tenthis oramin,  ஓரா, 
light brown fish,  ஓரா, 
unitedly,  ஓராங்கு, 
ceaselessly,  தொடர்ச்சியாக; நிறுத்தமற்ற, ஓராங்கு, 
united jointly,  ஓராங்கு, 
like wise,  ஓராங்கு, 
estate under a single owner,  ஓராண்காணி, 
one year,  நலம்புரிதம், ஓராண்டு, 
anniversary of death,  ஓராண்டு, 
unbroken lineage from individual to individual,  ஓராண்வழி, 
unbroken lineage from indivi dual to individual,  ஓராண்வழி, 
obliqueness,  ஓராயம், 
slantingness,  ஓராயம், 
the leeward or leaning side of a boat or other vessel,  ஓராயம், 
the close joining of two boards,  ஓராயம், 
slant,  சாய்வு// சரிவாக்கு// சரிவான// சாய்ந்துள்ள// சாய்வான நிலை// சரிவு, ஓராயம்// சாய்வாக்கு// சாய்வுற்ற நிலை// சாய்வான// சாய்ப்பு// சாய்வாகு// சாய்ந்த, 
one thousand,  ஓராயிரம், 
expression denoting many times or on numerous occasions,  ஓராயிரம், 
male jackal,  கோநாய்/ கோணாய்/ கோத்தை, ஓரி, 
male lemur,  ஓரி, 
lair of beast,  ஓரி, 
dark blue colour of matured honey,  ஓரி, 
one of seven katai vallal,  ஓரி, 
