அங்கச்சோமன் - ஒருவன் பிறக்கும்போது அவனுடைய தேகஉறுப்பில்நிற்பதாகக் கணிக்கப்படுஞ் சந்திரன்.அங்கணம்,"இரண்டு தூண்களுக்கு நடுவிலுள்ள இடம், உள்ளறை,கடுமரம்,சலதாரை,சேறு,பத்துமுழத்தளவு,பரப்பு, பொரிகாரம், முற்றம், வெண்காரம், மதகு.",16, [ angkaccōmaṉ - oruvaṉ பிறக்கும்போது அவனுடைய tēkuṟuppilniṟpatākak கணிக்கப்படுஞ் சந்திரன்.angkaṇam ]
அங்கணர்,சிவன்.,16, [ angkaṇar ]
அங்கணாளர்,சிவன்.,16, [ angkaṇāḷar ]
அங்கண்,அவ்விடம்.,16, [ angkaṇ ]
அங்கதச்செய்யுள்,வசைக்கவி.,16, [ angkatacceyyuḷ ]
அங்கதப்பாட்டு,அங்கதச்செய்யுள்.,16, [ angkatappāṭṭu ]
"அங்கதம் - தோளணி, பழிச்சொல்,பாம்பு, பொய், மார்பு, யானையுணவு.அங்கதர்",வசைச்செய்யுள் சொல்வோர்.,16," [ angkatam - tōḷaṇi, பழிச்சொல்,pāmpu, பொய், மார்பு, yāṉaiyuṇavu.அங்கதர் ]"
அங்கதாரி,"சிவன், சீவன், தேகம்.",16, [ angkatāri ]
அங்கபடி,"அங்கவடி, கவணை,குதிரையங்கபடி.",17, [ angkapaṭi ]
அங்கபாலிகை,கட்டித்தழுவுதல்.,17, [ angkapālikai ]
அங்கப்பூ,மகன்.,17, [ angkappū ]
அங்கம்பயந்தோன்,அருக்கடவுள்.,17, [ angkampayantōṉ ]
அங்கரக்கா,மெய்ச்சட்டை.,17, [ angkarakkā ]
அங்கரங்கம்,உலகவின்பம்.,17, [ angkarangkam ]
அங்கரட்சணி,யுத்தகவசம்.,17, [ angkaraṭcaṇi ]
அங்கரட்சா,அங்கரக்கா.,17, [ angkaraṭcā ]
அங்கரவல்லி,குறிஞ்சா.,18, [ angkaravalli ]
அங்கரூகம்,உரோமம்.,18, [ angkarūkam ]
அங்கலக்கணம்,"சரீர அழகு, சாமுத்திரிகாலக்கணம்.",18, [ angkalakkaṇam ]
அங்கலாய்ப்பு,"துக்கம், பேராசை.",18, [ angkalāyppu ]
அங்கவடி,அங்கபடி.,18, [ angkavaṭi ]
அங்கவிட்சேபம்,அபிநயம்.,18, [ angkaviṭcēpam ]
அங்கவியல்,இராசரீகமுறைமை.,18, [ angkaviyal ]
அங்கவீனன்,குரூபி.,18, [ angkavīṉaṉ ]
அங்களி,கற்றாழை.,18, [ angkaḷi ]
அங்கனம்,கடுக்காய்மரம்.,18, [ angkaṉam ]
