worship with sacred fire on an altar,  யாகம், 
act of fighting,  யோதனம், 
act of fighting battle,  யோதனம், 
daily allowance or pension granted to muhammadans,  யோமிய, 
in the earlier years of british rule for having rendered special services,  யோமிய, 
grantee of a daily allowance,  யோமியதார், 
grantee of daily allowance,  யோமியதார், 
genital organ of woman,  யோனி, 
place of birth,  பிறப்பிடம், யோனி, 
form of life,  யோனி, 
pedestal of a likam,  யோனி, 
a necessary adjunct or part of a drama,  யோனி, 
the th asterism,  யோனி, 
the th asterisma,  யோனி, 
mixed origin or caste,  யோனிக்கலப்பு, 
mixed origin or caste i,  யோனிக்கலப்பு, 
offspring of mixed parentage,  யோனிசங்கரன், 
considered low born,  யோனிசங்கரன், 
offspring of mixed parentage considered low born,  யோனிசங்கரன், 
lencorrhoea,  யோனிசிராவம், 
whiles,  யோனிசிராவம், 
a coressondence between the horoscopes of the prospective bride and bride grooms,  யோனிப்பொருத்தம், 
one of ten pporuttam,  யோனிப்பொருத்தம், 
species of living beings,  யோனிபேதம், 
said to number lakhs,  யோனிபேதம், 
a hand pose with a triangular opening between the fingers,  யோனிமுத்திரை, 
gift paid to a bride while sitting beside the bridegroom,  யெளதகம், 
wing loc,  ரக்கை, 
a division of the fifth note of the gamut,  ரக்தா, 
a division of the five notes of the gamut,  ரக்தா, 
fra,  ரகளை, 
a kind of metre in kanarese,  ரகளை, 
god the all merciful,  ரகீம், 
the all-beneficient,  ரகுமான், 
rangoon,  மெலிவுக் குட்டைப்பருத்தி வகை, ரங்கம், 
inner hall of a temple,  ரங்கமண்டபம், 
flour used in drawing decorative figures on the floor,  ரங்கவல்லி, 
a game of chance played with cards,  ரங்கு, 
woman that is loved,  ரங்கு, 
grant of land of cowle,  ரச்சீத்கவுல், 
providing progressive rates of assessment,  ரச்சீத்கவுல், 
grant of land on cowle,  ரச்சீத்கவுல், 
lock of braided hair,  ரச்சு, 
cord of the marriage badge,  ரச்சு, 
a felicitous corresondence between the horoscopes of the bride and bridegroom,  ரச்சுப், 
a kind of sweetmeat prepared by soaking fried flour balls in sugar treacle,  ரசகுல்லா, 
a medicinal oil prepared with mercury as the chief ingredient,  ரசத்தைலம், 
a species of sugar cane,  ரசதாளிக்கரும்பு, 
