care,  விழிப்பு, புரவு; நைகரம், அக்கறை// சிந்தனை, எண்ணம், அவலம், பரவா; நிகா/ வசம், பாரிசம், எச்சரிக்கை, பந்தோபத்து, பேணம், பறப்பு, பேணல்// சுருக்கு// சுழிவு/ கரைச்சல்/ கவலை, எவ்வை/ காத்தல், பொறுப்பு, அரத்தக்கொதி/ கவனிப்பு// சூதானம்/ கவ்வை, அழுக்கம்// சிந்தை: மனக்கவலை, புலாதி; நிர்வாகம்/ கவனம், போசாக்கு, பிராந்தி; நினைவு, 
sorge,  அக்கறை, 
concern,  ஐயோ, துடக்கு, பறப்பு/ கவை, ஓகோ; நிறுவனம், அக்குசு, தொழில்/ கவலை/ கெளவை/ கவற்சி/ வி, அக்கறை/ கோசு// சிந்தனை, எண்ணம், பரவா/ கவ்வை, அழுக்கம்// சோந்தை, ஆற்றாமை, ஈடுபாடு/ கரிசனம், ஐய, 
serious at,  அக்கறை, 
necessity,  ஆவசியம்/ கவை, அறைகுறை, அவசரம், அக்கறை, அவசியம், தேவை, அவ;- இன்றியமையாமை// செலவு, தவிர்க்கமுடியாமை/ கட்டாயத்தேவை, துப்புரவு, தெண்டகை, 
elder sister,  முன்னை, அப்பாத்தை// சேட்டை, அத்தி, தமக்கை, தவ்வை, அன்னை, அத்திகை, அக்காத்தை, அக்கைச்சி, அந்தி, அச்சி, அக்காள்: முன்னாள்; நுவ்வை, அக்கன், அத்தை, அக்கா// செவிலி, தன்னை, அப்பத்தாள்: முன்பிறந்தாள்: முன்னவள், அக்கச்சி, அந்திகை, அக்கை: மூத்தாள்// சேட்டி, 
dog,  ஞெள்ளை, தொடர்/ வண்டரம்/ குக்கன், எகினன்// சூரன்// செருப்புத்தின்னி// சிலும்பல்; நாய்ப்பல், தோழப்பர், அற்றம், உச்சி// சிவாராதி, அசுழம்;- இந்தியச்செந்நாய்: முலவை, எகினம்// சதுட்பாதம்/ குகுரன்/ குக்குரன், ஞாளி/ கூரன், பாசி// சுணங்கன்; நயக்கன்: மண்டலி// சகுடம்/ வடி, பி.சி.ஜி. அணிவார்ப்பின் நாய் / வைரவனூர்தி, உரோகதி, அக்கன், யட்சம்/ குட்டிபடல்: முவ்வை, பாகி, அற்பம், ஞமலி/ கட்டைக்கொளுவி, பைகிரி, பட்டி: முடுவல்; நாய்/ கிடுக்கி/ கிராமசிம்மம்/ வயிரவன்வாகனம்/ கடுவாய்/ காட்டுநாய்/ கௌலேயகன்/ வேட்டைப்பல்; நாளி, துத்தம்/ குக்கல்// சாரமேயன், 
wearer of rudrksa beads,  அக்கன், 
soapnut,  கண்டவல்லி, பூச்சிக்கொட்டை, புளிக்காப்பு, அக்கனக்காய், 
sapindus emarginatus,  அறைவாடிக்கிளி, அக்கனக்காய், 
elder sist,  அக்கா, 
a term of,  அக்கா: மூதேவி// சா, அடியேன்; நாய்// சனியன், பாப்பா/ கழுதை, பாட்டி, ஆசான்/ கடன்காரன்// சின்னம்மா/ கண்மணி, பாதகன், 
goddess of evil,  அக்கா, அக்காதேவி, 
as elder sister of laksmi,  அக்கா, அக்காதேவி, 
mother,  தவ்வை, உமைய, அம், அச்சம்: மாதா, அத்தாள்// சின்னம்மா, தள்ளை, ஆய்ச்சி, தன்னை, அம்பிகை, அவ்வை, அம்மா, ஐயை: மொய்: மொய்த்தாய், ஆய், அம்பா, அம்மன், தாத்திரி, ஞாய், அம்மனை, அம்மை, ஆச்சாள்// சனனி, ஆத்தாள்: மாற்றாந் தாய், அல்லா: மனை, அத்தி, அம்மாள், அன்னை, ஆச்சி, ஆத்தை, அகத்தை, ஆயாள், யாய், ஏற்புத் தாய், ஆத்தா, அஞ்ஞை: மகவேற்புத் தாய், அச்சி, அம்மாச்சி, உலகமாதா/ கோ, ஆயி, அயின்றாள், அத்தை, அக்கா, தாய், ஆயம்// சி, ஈன்றாள்: முதுவோர்: மோய், உம்மா, அக்கை, தாயார்/ வீரை, பாராட்டுந்தாய், 
elder cousin-sister,  அக்கா, 
an older woman who has acquired the relationship of a cousin through marriage,  அக்கா, 
any unrelated elderly woman addressed or spoken of as akka out of courtesy,  அக்கா, 
goddess of misfortune said to be the elder sister of tirumagal,  அக்கா, 
the goddess of wealth,  அக்கா// சபலை: மணிமாலை, 
vocative of akkai,  அக்கா, 
acca larentia,  அக்கா, 
mother of the lares,  அக்கா, 
onom expr imitating the cawing of a crow,  அக்காக்காய், 
used to keep a child quiet while braiding its hair,  அக்காக்காய், 
a playful invitation by a childs mother or nurse addressed to an imaginary or real crow to come and braid the childs hair along with her,  அக்காக்காய், 
the purpose being to divert the attention of the child and make it stay quiet without moving its head,  அக்காக்காய், 
hawk cuckoo,  அக்காக்குருவி, 
