a small liga,  சலலிங்கம், 
usually worn as a pendant,  சலலிங்கம், 
a small linga usually worn as a pendant,  சலலிங்கம், 
gum of the redflowered silk cotton,  சலவகு, 
gum of the red-flowered silk-cotton,  சலவகு, 
inhabitants of a coastal district,  சலவர், 
as sea faring men,  சலவர், 
as seafaring men,  சலவர், 
deciful person,  சலவன், 
sow,  வாராகி// சலவன்பன்றி/ விதைத்தூவு, பெண் பன்றி, உருக்கிரும்பு வாய்க்கால்/ வீசு, பெண்பன்றி, 
a malady,  சலவாதம், 
person of a servile caste employed to give information of deaths,  சலவாதி, 
to answer the call of nature,  சலவாதி, 
plantain of the waters fish,  சலவாழைக்காய், 
plantain of the waters,  சலவாழைக்காய், 
capon,  சலவிட்டசாவல்/ விரைநீக்கப்பட்ட சேவல்/ விதையடித்த சேவல், 
water snake,  நீரரா, தண்ணீர்ப்பாம்பு// சலவியாளம்; நீர்க்கோலி; நீர்ப்புடையன், 
water-snake,  தண்ணீர்ப்பாம்பு// சலவியாளம்; நீரரவு, 
washed cl,  சலவை, 
bleaching or washing of cloth,  சலவை, 
washed cloth,  சலவை, 
low temperature of the body,  சலவை/ வறட்சி, 
symbolic unit in kind to aid reckoning or measuring,  சலவை, 
anything extra obtained from a trader as a bargain,  சலவை, 
symbolic unitin kind to aid reckoning or measuring,  சலவை, 
flag stone,  பாவுக் கற்கள்// சலவைக்கல், 
polished stone,  சலவைக்கல், 
hornblende,  சலவைக்கல், 
bleached thread i,  சலவைநூல், 
washermans tax free land,  சலவைப்பற்று, 
earth used for plastering walls,  சலவைமண், 
onom expr of tinkling sound,  சலன்சலனெனல், 
times of hardship,  சலனகாலம், 
motor nerve,  இயக்குநரம்பு;- இயக்கநரம்பு// சலனநரம்பு;- இயக்கு நரம்பு, 
arousal of,  சலனம், 
sth that a,  சலனம், 
liga imagined for mental worship,  சலனம், 
leg i,  சலனம், 
spike see,  சலாகு, 
probe,  ஆய்கருவி// சலாகை; நுண்ணாய்வு, புலன் விசாரணை/ கிளறு, துருவித்துருவிப்பார், தீராய்வு, துருவி, துல்லியமாக  நுணுகிக் காணும் முறை; நாராசம், தேட்டம், ஆழ்ந்தாய்வு, ஆய்கலம்: மென்னீ டி, ஆழ்ந்தாய், 
needle like tool of steel,  சலாகை, 
ramrod,  சலாகை// செறீகோல், 
iron rod or stake,  சலாகை, 
a superior kind of gem,  சலாகை, 
an ornament worn on shoulders,  சலாகை, 
a small coin,  புல்வாண்டைக்காசு// சலாகை, புதுப்பணம், 
a goldsmiths tool,  சலாகை, 
needlelike tool of steel,  சலாகை, 
magnel,  சலாகை, 
lath for roofing,  சலாகை, 
a surgical instrument,  தாளயந்திரம்// சலாகை, 
made of iron or copper,  சலாகை, 
is about in in long,  சலாகை, 
slender at the middle,  சலாகை, 
blunt at the two ends,  சலாகை, 
used to probe the depth and extent of wounds and applying collyrium to the eyes,  சலாகை, 
spoon shaped,  சலாகை, 
nail-shaped probe,  சலாகை, 
collyrium probe,  சலாகை, 
roetus ortraction probe,  சலாகை, 
half-moon probe urethral bougie,  சலாகை, 
a probe with a blunt end blunt probe,  சலாகை, 
one with a tape near one end-eyed probe,  சலாகை, 
a probe with a long pair of scissors scissors probe,  சலாகை, 
a probe of steel wire wire probe,  சலாகை, 
a probe of uterina exploration,  சலாகை, 
which was vogue during colan and pandyan rule,  சலாகை, 
land measure,  நில அளவீட்டு அலகு// சலாகை, பரப்பு; நிலமளப்பீடு; நிலத்தளவை, 
sharp pointed implement for digging,  சலாகைப்பாரை, 
lath nail,  சலாகையாணி, 
water fowl,  சகடபலம்// சலாங்கு; நீர்க்கோழி/ கிராமம், பொய்யாப்புள், 
water-fowl,  சகடபலம்// சலாங்கு, 
na urinary bladder,  சலாசயம், 
one of cacayam,  சலாசயம், 
a curtain,  சலாத்தி, 
diving for pearls,  சலாபக்குளி, 
profitable business,  சலாபக்குளி, 
as pearl fishing,  சலாபக்குளி, 
pearl-fisher,  சலாபக்குளி, 
a kind of poetic composition,  பேரிசை: மஞ்சரிப்பா// சலாபச்சக்கரம்/ வண்ணத்தரு, 
pear fishery,  சலாபத்துறை, 
cash-payment,  சலார், 
onom expr signifying clinking,  சலார்பிலாரெனல், 
as of ornaments,  சலார்பிலாரெனல், 
onom expr signifying clinking as of onaments,  சலார்பிலாரெனல், 
